A,B,C
1522f7fd,Yes,
20407381,Yes,
e26ee7ac,Yes,
8f0f115d,Yes,
3497c122,Yes,
81de0742,Yes,
aaf35481,Yes,
0e97d92a,Yes,
979e8890,Yes,
3eddd487,Yes,
9fca8b6a,Yes,
d9b78939,Yes,
1e3aa440,Yes,
11a46b5b,Yes,
f8c7ce6e,Yes,
71c4ea46,Yes,
59269678,Yes,
de4794ae,Yes,
21cc8562,Yes,
bb61662f,Yes,
73e7ca2e,Yes,
ac576087,Yes,
5e7754be,Yes,
d089c503,Yes,
4eed50a0,Yes,
f860c696,Yes,
2ae927ff,Yes,
e1dcff2f,Yes,
7e4254c0,Yes,
244065cb,Yes,
6f278518,Yes,
59179c45,Yes,
70fd0817,Yes,
3fcd51b6,Yes,
e8361ca0,Yes,
bbf79da9,Yes,
4e5c7256,Yes,
c450bb29,Yes,
c923d6b4,Yes,
d163878b,Yes,
061805c9,Yes,
6be22d68,Yes,
c156833f,Yes,
bb9819dd,Yes,
f8c7dd1c,Yes,
7a4d6720,Yes,
465917e1,Yes,
06cc73b7,Yes,
78366b26,Yes,
92c891b1,Yes,
82610efa,Yes,
85c4aa50,Yes,
f20c320e,Yes,
18122770,Yes,
fc1812f4,Yes,
35cb4316,Yes,
a0e3318c,Yes,
5065ec25,Yes,
2efe7e55,Yes,
d12db8a8,Yes,
c1418fa0,Yes,
e0a6d2f7,Yes,
2f691cc3,Yes,
a312dbd7,Yes,
2d71ce47,Yes,
fcd89733,Yes,
978f6ae5,Yes,
f666d9ab,Yes,
3f556e1c,Yes,
8b30fafc,Yes,
3116d984,Yes,
ad7e22d2,Yes,
48c3513f,Yes,
09c577c2,Yes,
ca40baf7,Yes,
f9e95732,Yes,
adf11c49,Yes,
425901ab,Yes,
2eb1ccb5,Yes,
d3dc31b2,Yes,
74329013,Yes,
fa65d6ad,Yes,
e74b057a,Yes,
2b6bd72c,Yes,
4f071228,Yes,
99fa79c7,Yes,
8d62e63b,Yes,
3b15a4c6,Yes,
1f7ff01b,Yes,
b92ca7dd,Yes,
7c6d3d2c,Yes,
d7f9c3a5,Yes,
8c5a006f,Yes,
ab016794,Yes,
3eca597b,Yes,
dbc5223a,Yes,
9dbb2002,Yes,
c5ca67c4,Yes,
12d9db10,Yes,
63e732e3,Yes,
2b27044c,Yes,
c47234f8,Yes,
d210a3e1,Yes,
e099b806,Yes,
c1d4744d,Yes,
d2fe93f3,Yes,
4c5cf6d0,Yes,
5202c31a,Yes,
407b25c6,Yes,
62538ea7,Yes,
1b64a641,Yes,
1a9b3d56,Yes,
58bc8d82,Yes,
287b3eb6,Yes,
d2386373,Yes,
05f91235,Yes,
f952ad9d,Yes,
666ba876,Yes,
b8680479,Yes,
2993ba4c,Yes,
a7b98ce1,Yes,
b95ee116,Yes,
16ff8735,Yes,
eb17034f,Yes,
ebf04d93,Yes,
dc325421,Yes,
fbb5532a,Yes,
36a08c55,Yes,
c746517f,Yes,
7810df1d,Yes,
1ac0a1d6,Yes,
a10682cb,Yes,
8561aa71,Yes,
094fbc0f,Yes,
72f894e1,Yes,
3906a7b0,Yes,
273a74b5,Yes,
26e42ec9,Yes,
1fd51e30,Yes,
0293e8a6,Yes,
f2b9425c,Yes,
ff49dcb6,Yes,
6c8fe971,Yes,
085c8cdb,Yes,
d0bebc77,Yes,
4d6dcdbd,Yes,
7340890c,Yes,
d676c3dc,Yes,
a363ac91,Yes,
94854302,Yes,
da04c1a0,Yes,
9d4d9277,Yes,
f72b04c1,Yes,
16ba97b0,Yes,
cfbc7910,Yes,
3892db91,Yes,
45770a3b,Yes,
cafd7272,Yes,
294c62f7,Yes,
bfed7f73,Yes,
bc9a59b0,Yes,
0294d62c,Yes,
9538ca52,Yes,
4e019726,Yes,
18b8da29,Yes,
c37faf6b,Yes,
d0c43857,Yes,
2d1191cd,Yes,
261f505e,Yes,
4a2c23b2,Yes,
81d4996f,Yes,
1d564e5e,Yes,
90e2aefc,Yes,
a51ec283,Yes,
27d0d114,Yes,
c37bd2f5,Yes,
520b92ee,Yes,
d5e8213e,Yes,
d7a9fc4e,Yes,
38e86b5c,Yes,
53296d0c,Yes,
4f95eb07,Yes,
ae4c7dda,Yes,
2f602cdc,Yes,
287de91f,Yes,
5a16a15b,Yes,
aa451dfb,Yes,
40a0afd9,Yes,
c3f848cc,Yes,
b375046e,Yes,
04844fb6,Yes,
dcd15685,Yes,
77dbeb5d,Yes,
e241ee5c,Yes,
3e1717bf,Yes,
516545dd,Yes,
61ee416d,Yes,
bd85a488,Yes,
03579a8a,Yes,
05491ef7,Yes,
be33250f,Yes,
5d7b6542,Yes,
aee4f37f,Yes,
1c234e89,Yes,
9f115473,Yes,
3b10cb24,Yes,
ac58a0ae,Yes,
c1c10b2e,Yes,
305753b6,Yes,
4ed72536,Yes,
37dd2f82,Yes,
e441f05d,Yes,
cdc478d3,Yes,
270fceb8,Yes,
0459a285,Yes,
29d4468a,Yes,
2ce30c81,Yes,
889bb161,Yes,
9a3d3726,Yes,
2b8ec898,Yes,
844bc27e,Yes,
6a45a352,Yes,
5ed3761c,Yes,
7433560a,Yes,
1a2f57dd,Yes,
b0dd1730,Yes,
c0b7e3bf,Yes,
8d1a3678,Yes,
b49b5a4e,Yes,
a6b2d67f,Yes,
